INSERT INTO products (Name, Description, Category, ImageUrl, Stock, Price) VALUES
('Wędka Okuma Feederowa 360cm', 'Profesjonalna wędka typu feederowa o długości 360cm i ciężarze wyrzutu 5-25g. Idealny wybór na polskie wody.', 'Wędki', '24.jpg', 70, 888.71),
('Wędka Shimano Odległościowa 270cm', 'Profesjonalna wędka typu odległościowa o długości 270cm i ciężarze wyrzutu 40-120g. Idealny wybór na polskie wody.', 'Wędki', '25.jpg', 71, 504.39),
('Wędka Savage Gear Karpiowa 300cm', 'Profesjonalna wędka typu karpiowa o długości 300cm i ciężarze wyrzutu 5-25g. Idealny wybór na polskie wody.', 'Wędki', '26.jpg', 58, 1197.80),
('Wędka JRC Sumowa 240cm', 'Profesjonalna wędka typu sumowa o długości 240cm i ciężarze wyrzutu 1-5g. Idealny wybór na polskie wody.', 'Wędki', '27.jpg', 36, 1151.26),
('Wędka Fox International Odległościowa 390cm', 'Profesjonalna wędka typu odległościowa o długości 390cm i ciężarze wyrzutu 1-5g. Idealny wybór na polskie wody.', 'Wędki', '28.jpg', 41, 808.13),
('Wędka Daiwa Odległościowa 240cm', 'Profesjonalna wędka typu odległościowa o długości 240cm i ciężarze wyrzutu 1-5g. Idealny wybór na polskie wody.', 'Wędki', '29.jpg', 50, 1197.44),
('Wędka Mikado Sumowa 270cm', 'Profesjonalna wędka typu sumowa o długości 270cm i ciężarze wyrzutu 50-100g. Idealny wybór na polskie wody.', 'Wędki', '30.jpg', 3, 142.00),
('Wędka Savage Gear Karpiowa 210cm', 'Profesjonalna wędka typu karpiowa o długości 210cm i ciężarze wyrzutu 10-30g. Idealny wybór na polskie wody.', 'Wędki', '31.jpg', 42, 1112.14),
('Wędka Shimano Bolońska 300cm', 'Profesjonalna wędka typu bolońska o długości 300cm i ciężarze wyrzutu 5-25g. Idealny wybór na polskie wody.', 'Wędki', '32.jpg', 13, 1225.11),
('Wędka Mikado Karpiowa 390cm', 'Profesjonalna wędka typu karpiowa o długości 390cm i ciężarze wyrzutu 50-100g. Idealny wybór na polskie wody.', 'Wędki', '33.jpg', 19, 1189.93),
('Wędka Daiwa Sumowa 360cm', 'Profesjonalna wędka typu sumowa o długości 360cm i ciężarze wyrzutu 50-100g. Idealny wybór na polskie wody.', 'Wędki', '34.jpg', 36, 1209.72),
('Wędka Mikado Bolońska 270cm', 'Profesjonalna wędka typu bolońska o długości 270cm i ciężarze wyrzutu 50-100g. Idealny wybór na polskie wody.', 'Wędki', '35.jpg', 28, 1244.51),
('Wędka JRC Podlodowa 360cm', 'Profesjonalna wędka typu podlodowa o długości 360cm i ciężarze wyrzutu 50-100g. Idealny wybór na polskie wody.', 'Wędki', '36.jpg', 50, 256.72),
('Wędka Daiwa Feederowa 210cm', 'Profesjonalna wędka typu feederowa o długości 210cm i ciężarze wyrzutu 1-5g. Idealny wybór na polskie wody.', 'Wędki', '37.jpg', 11, 745.92),
('Wędka Mikado Spinningowa 210cm', 'Profesjonalna wędka typu spinningowa o długości 210cm i ciężarze wyrzutu 40-120g. Idealny wybór na polskie wody.', 'Wędki', '38.jpg', 31, 833.14),
('Wędka Daiwa Spinningowa 270cm', 'Profesjonalna wędka typu spinningowa o długości 270cm i ciężarze wyrzutu 5-25g. Idealny wybór na polskie wody.', 'Wędki', '39.jpg', 11, 700.99),
('Wędka Savage Gear Karpiowa 360cm', 'Profesjonalna wędka typu karpiowa o długości 360cm i ciężarze wyrzutu 10-30g. Idealny wybór na polskie wody.', 'Wędki', '40.jpg', 65, 937.38),
('Kołowrotek Ryobi 2000 Multiplikator', 'Niezawodny kołowrotek w rozmiarze 2000 wyposażony w system Multiplikator. Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '41.jpg', 76, 1157.08),
('Kołowrotek Mikado 1000 RD', 'Niezawodny kołowrotek w rozmiarze 1000 wyposażony w system RD (Tylny hamulec). Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '42.jpg', 55, 221.82),
('Kołowrotek Penn 3000 Multiplikator', 'Niezawodny kołowrotek w rozmiarze 3000 wyposażony w system Multiplikator. Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '43.jpg', 48, 725.15),
('Kołowrotek Abu Garcia 1000 FD', 'Niezawodny kołowrotek w rozmiarze 1000 wyposażony w system FD (Przedni hamulec). Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '44.jpg', 9, 637.56),
('Kołowrotek Okuma 2000 RD', 'Niezawodny kołowrotek w rozmiarze 2000 wyposażony w system RD (Tylny hamulec). Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '45.jpg', 16, 348.68),
('Kołowrotek Penn 2000 Multiplikator', 'Niezawodny kołowrotek w rozmiarze 2000 wyposażony w system Multiplikator. Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '46.jpg', 20, 468.81),
('Kołowrotek Daiwa 6000 Multiplikator', 'Niezawodny kołowrotek w rozmiarze 6000 wyposażony w system Multiplikator. Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '47.jpg', 12, 1261.43),
('Kołowrotek Ryobi 5000 FD', 'Niezawodny kołowrotek w rozmiarze 5000 wyposażony w system FD (Przedni hamulec). Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '48.jpg', 15, 1449.02),
('Kołowrotek Mikado 6000 FD', 'Niezawodny kołowrotek w rozmiarze 6000 wyposażony w system FD (Przedni hamulec). Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '49.jpg', 4, 1244.22),
('Kołowrotek Daiwa 3000 Multiplikator', 'Niezawodny kołowrotek w rozmiarze 3000 wyposażony w system Multiplikator. Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '50.jpg', 55, 380.69),
('Kołowrotek Penn 3000 RD', 'Niezawodny kołowrotek w rozmiarze 3000 wyposażony w system RD (Tylny hamulec). Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '51.jpg', 10, 92.92),
('Kołowrotek Penn 2500 Multiplikator', 'Niezawodny kołowrotek w rozmiarze 2500 wyposażony w system Multiplikator. Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '52.jpg', 36, 665.28),
('Kołowrotek Abu Garcia 2000 Multiplikator', 'Niezawodny kołowrotek w rozmiarze 2000 wyposażony w system Multiplikator. Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '53.jpg', 74, 348.25),
('Kołowrotek Daiwa 5000 FD', 'Niezawodny kołowrotek w rozmiarze 5000 wyposażony w system FD (Przedni hamulec). Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '54.jpg', 10, 516.50),
('Kołowrotek Shimano 4000 Multiplikator', 'Niezawodny kołowrotek w rozmiarze 4000 wyposażony w system Multiplikator. Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '55.jpg', 77, 1340.37),
('Kołowrotek Ryobi 4000 FD', 'Niezawodny kołowrotek w rozmiarze 4000 wyposażony w system FD (Przedni hamulec). Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '56.jpg', 23, 198.94),
('Kołowrotek Daiwa 5000 FD', 'Niezawodny kołowrotek w rozmiarze 5000 wyposażony w system FD (Przedni hamulec). Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '57.jpg', 11, 1262.07),
('Kołowrotek Penn 4000 RD', 'Niezawodny kołowrotek w rozmiarze 4000 wyposażony w system RD (Tylny hamulec). Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '58.jpg', 18, 898.54),
('Kołowrotek Ryobi 5000 Multiplikator', 'Niezawodny kołowrotek w rozmiarze 5000 wyposażony w system Multiplikator. Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '59.jpg', 13, 883.79),
('Kołowrotek Ryobi 2000 Z', 'Niezawodny kołowrotek w rozmiarze 2000 wyposażony w system Z wolnym biegiem. Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '60.jpg', 43, 1000.82),
('Kołowrotek Okuma 3000 Z', 'Niezawodny kołowrotek w rozmiarze 3000 wyposażony w system Z wolnym biegiem. Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '61.jpg', 33, 267.99),
('Kołowrotek Abu Garcia 2500 Multiplikator', 'Niezawodny kołowrotek w rozmiarze 2500 wyposażony w system Multiplikator. Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '62.jpg', 41, 1353.46),
('Kołowrotek Shimano 4000 Multiplikator', 'Niezawodny kołowrotek w rozmiarze 4000 wyposażony w system Multiplikator. Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '63.jpg', 4, 1447.90),
('Kołowrotek Shimano 4000 RD', 'Niezawodny kołowrotek w rozmiarze 4000 wyposażony w system RD (Tylny hamulec). Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '64.jpg', 12, 450.67),
('Kołowrotek Okuma 2500 RD', 'Niezawodny kołowrotek w rozmiarze 2500 wyposażony w system RD (Tylny hamulec). Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '65.jpg', 11, 477.58),
('Kołowrotek Penn 4000 Z', 'Niezawodny kołowrotek w rozmiarze 4000 wyposażony w system Z wolnym biegiem. Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '66.jpg', 72, 1428.04),
('Kołowrotek Mikado 5000 FD', 'Niezawodny kołowrotek w rozmiarze 5000 wyposażony w system FD (Przedni hamulec). Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '67.jpg', 70, 1201.26),
('Kołowrotek Okuma 2500 RD', 'Niezawodny kołowrotek w rozmiarze 2500 wyposażony w system RD (Tylny hamulec). Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '68.jpg', 16, 246.97),
('Kołowrotek Shimano 2500 RD', 'Niezawodny kołowrotek w rozmiarze 2500 wyposażony w system RD (Tylny hamulec). Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '69.jpg', 73, 473.18),
('Kołowrotek Daiwa 5000 RD', 'Niezawodny kołowrotek w rozmiarze 5000 wyposażony w system RD (Tylny hamulec). Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '70.jpg', 46, 952.56),
('Kołowrotek Okuma 2500 Multiplikator', 'Niezawodny kołowrotek w rozmiarze 2500 wyposażony w system Multiplikator. Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '71.jpg', 67, 1321.26),
('Kołowrotek Mikado 5000 FD', 'Niezawodny kołowrotek w rozmiarze 5000 wyposażony w system FD (Przedni hamulec). Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '72.jpg', 9, 666.06),
('Kołowrotek Okuma 2500 FD', 'Niezawodny kołowrotek w rozmiarze 2500 wyposażony w system FD (Przedni hamulec). Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '73.jpg', 8, 1138.72),
('Kołowrotek Abu Garcia 5000 RD', 'Niezawodny kołowrotek w rozmiarze 5000 wyposażony w system RD (Tylny hamulec). Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '74.jpg', 36, 690.89),
('Kołowrotek Abu Garcia 1000 FD', 'Niezawodny kołowrotek w rozmiarze 1000 wyposażony w system FD (Przedni hamulec). Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '75.jpg', 57, 192.32),
('Kołowrotek Abu Garcia 6000 FD', 'Niezawodny kołowrotek w rozmiarze 6000 wyposażony w system FD (Przedni hamulec). Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '76.jpg', 22, 592.13),
('Kołowrotek Ryobi 2000 Multiplikator', 'Niezawodny kołowrotek w rozmiarze 2000 wyposażony w system Multiplikator. Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '77.jpg', 21, 146.88),
('Kołowrotek Okuma 2000 Z', 'Niezawodny kołowrotek w rozmiarze 2000 wyposażony w system Z wolnym biegiem. Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '78.jpg', 8, 1017.61),
('Kołowrotek Abu Garcia 6000 Z', 'Niezawodny kołowrotek w rozmiarze 6000 wyposażony w system Z wolnym biegiem. Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '79.jpg', 16, 851.44),
('Kołowrotek Mikado 2000 RD', 'Niezawodny kołowrotek w rozmiarze 2000 wyposażony w system RD (Tylny hamulec). Gwarantuje płynną i bezawaryjną pracę przez wiele sezonów.', 'Kołowrotki', '80.jpg', 55, 1265.86),
('Wahadłówka Westin Firetiger 4cm', 'Wyjątkowo łowna przynęta sztuczna (wahadłówka) o długości 4cm w legendarnym wariancie kolorystycznym Firetiger. Agresywna praca w wodzie.', 'Przynęty', '81.jpg', 25, 60.63),
('Riper Berkley Rhino 16cm', 'Wyjątkowo łowna przynęta sztuczna (riper) o długości 16cm w legendarnym wariancie kolorystycznym Rhino. Agresywna praca w wodzie.', 'Przynęty', '82.jpg', 55, 26.11),
('Wahadłówka Westin Fluo 4cm', 'Wyjątkowo łowna przynęta sztuczna (wahadłówka) o długości 4cm w legendarnym wariancie kolorystycznym Fluo. Agresywna praca w wodzie.', 'Przynęty', '83.jpg', 16, 22.85),
('Błystka obrotowa Westin Rhino 8cm', 'Wyjątkowo łowna przynęta sztuczna (błystka obrotowa) o długości 8cm w legendarnym wariancie kolorystycznym Rhino. Agresywna praca w wodzie.', 'Przynęty', '84.jpg', 61, 22.88),
('Wahadłówka Salmo Silver 8cm', 'Wyjątkowo łowna przynęta sztuczna (wahadłówka) o długości 8cm w legendarnym wariancie kolorystycznym Silver. Agresywna praca w wodzie.', 'Przynęty', '85.jpg', 27, 70.02),
('Błystka obrotowa Westin Motoroil 16cm', 'Wyjątkowo łowna przynęta sztuczna (błystka obrotowa) o długości 16cm w legendarnym wariancie kolorystycznym Motoroil. Agresywna praca w wodzie.', 'Przynęty', '86.jpg', 38, 56.44),
('Błystka obrotowa Westin Perch 4cm', 'Wyjątkowo łowna przynęta sztuczna (błystka obrotowa) o długości 4cm w legendarnym wariancie kolorystycznym Perch. Agresywna praca w wodzie.', 'Przynęty', '87.jpg', 71, 70.95),
('Twister Berkley Pike 8cm', 'Wyjątkowo łowna przynęta sztuczna (twister) o długości 8cm w legendarnym wariancie kolorystycznym Pike. Agresywna praca w wodzie.', 'Przynęty', '88.jpg', 25, 14.47),
('Riper Mepps Motoroil 8cm', 'Wyjątkowo łowna przynęta sztuczna (riper) o długości 8cm w legendarnym wariancie kolorystycznym Motoroil. Agresywna praca w wodzie.', 'Przynęty', '89.jpg', 47, 51.05),
('Wahadłówka Keitech Rhino 12cm', 'Wyjątkowo łowna przynęta sztuczna (wahadłówka) o długości 12cm w legendarnym wariancie kolorystycznym Rhino. Agresywna praca w wodzie.', 'Przynęty', '90.jpg', 17, 25.22),
('Wobler Salmo Rhino 12cm', 'Wyjątkowo łowna przynęta sztuczna (wobler) o długości 12cm w legendarnym wariancie kolorystycznym Rhino. Agresywna praca w wodzie.', 'Przynęty', '91.jpg', 58, 33.27),
('Twister Rapala Perch 8cm', 'Wyjątkowo łowna przynęta sztuczna (twister) o długości 8cm w legendarnym wariancie kolorystycznym Perch. Agresywna praca w wodzie.', 'Przynęty', '92.jpg', 45, 59.39),
('Błystka obrotowa Berkley Motoroil 16cm', 'Wyjątkowo łowna przynęta sztuczna (błystka obrotowa) o długości 16cm w legendarnym wariancie kolorystycznym Motoroil. Agresywna praca w wodzie.', 'Przynęty', '93.jpg', 67, 30.47),
('Twister Salmo Rhino 6cm', 'Wyjątkowo łowna przynęta sztuczna (twister) o długości 6cm w legendarnym wariancie kolorystycznym Rhino. Agresywna praca w wodzie.', 'Przynęty', '94.jpg', 40, 37.40),
('Twister Mepps Silver 12cm', 'Wyjątkowo łowna przynęta sztuczna (twister) o długości 12cm w legendarnym wariancie kolorystycznym Silver. Agresywna praca w wodzie.', 'Przynęty', '95.jpg', 25, 36.34),
('Błystka obrotowa Westin Rhino 8cm', 'Wyjątkowo łowna przynęta sztuczna (błystka obrotowa) o długości 8cm w legendarnym wariancie kolorystycznym Rhino. Agresywna praca w wodzie.', 'Przynęty', '96.jpg', 3, 38.09),
('Riper Keitech Fluo 8cm', 'Wyjątkowo łowna przynęta sztuczna (riper) o długości 8cm w legendarnym wariancie kolorystycznym Fluo. Agresywna praca w wodzie.', 'Przynęty', '97.jpg', 80, 38.97),
('Twister Salmo Firetiger 10cm', 'Wyjątkowo łowna przynęta sztuczna (twister) o długości 10cm w legendarnym wariancie kolorystycznym Firetiger. Agresywna praca w wodzie.', 'Przynęty', '98.jpg', 30, 54.92),
('Riper Berkley Red Head 16cm', 'Wyjątkowo łowna przynęta sztuczna (riper) o długości 16cm w legendarnym wariancie kolorystycznym Red Head. Agresywna praca w wodzie.', 'Przynęty', '99.jpg', 68, 13.36),
('Riper Westin Rhino 8cm', 'Wyjątkowo łowna przynęta sztuczna (riper) o długości 8cm w legendarnym wariancie kolorystycznym Rhino. Agresywna praca w wodzie.', 'Przynęty', '100.jpg', 33, 65.77),
('Wobler Savage Gear Fluo 6cm', 'Wyjątkowo łowna przynęta sztuczna (wobler) o długości 6cm w legendarnym wariancie kolorystycznym Fluo. Agresywna praca w wodzie.', 'Przynęty', '101.jpg', 6, 51.42),
('Wahadłówka Westin Rhino 10cm', 'Wyjątkowo łowna przynęta sztuczna (wahadłówka) o długości 10cm w legendarnym wariancie kolorystycznym Rhino. Agresywna praca w wodzie.', 'Przynęty', '102.jpg', 12, 59.29),
('Wahadłówka Mepps Firetiger 6cm', 'Wyjątkowo łowna przynęta sztuczna (wahadłówka) o długości 6cm w legendarnym wariancie kolorystycznym Firetiger. Agresywna praca w wodzie.', 'Przynęty', '103.jpg', 66, 54.71),
('Wahadłówka Rapala Firetiger 6cm', 'Wyjątkowo łowna przynęta sztuczna (wahadłówka) o długości 6cm w legendarnym wariancie kolorystycznym Firetiger. Agresywna praca w wodzie.', 'Przynęty', '104.jpg', 16, 65.59),
('Wahadłówka Salmo Rhino 4cm', 'Wyjątkowo łowna przynęta sztuczna (wahadłówka) o długości 4cm w legendarnym wariancie kolorystycznym Rhino. Agresywna praca w wodzie.', 'Przynęty', '105.jpg', 69, 73.92),
('Guma Rapala Red Head 10cm', 'Wyjątkowo łowna przynęta sztuczna (guma) o długości 10cm w legendarnym wariancie kolorystycznym Red Head. Agresywna praca w wodzie.', 'Przynęty', '106.jpg', 61, 76.32),
('Wahadłówka Mepps Fluo 12cm', 'Wyjątkowo łowna przynęta sztuczna (wahadłówka) o długości 12cm w legendarnym wariancie kolorystycznym Fluo. Agresywna praca w wodzie.', 'Przynęty', '107.jpg', 67, 72.44),
('Wahadłówka Salmo Rhino 8cm', 'Wyjątkowo łowna przynęta sztuczna (wahadłówka) o długości 8cm w legendarnym wariancie kolorystycznym Rhino. Agresywna praca w wodzie.', 'Przynęty', '108.jpg', 63, 68.22),
('Wahadłówka Berkley Rhino 16cm', 'Wyjątkowo łowna przynęta sztuczna (wahadłówka) o długości 16cm w legendarnym wariancie kolorystycznym Rhino. Agresywna praca w wodzie.', 'Przynęty', '109.jpg', 69, 26.68),
('Guma Rapala Red Head 8cm', 'Wyjątkowo łowna przynęta sztuczna (guma) o długości 8cm w legendarnym wariancie kolorystycznym Red Head. Agresywna praca w wodzie.', 'Przynęty', '110.jpg', 39, 30.00),
('Guma Keitech Rhino 6cm', 'Wyjątkowo łowna przynęta sztuczna (guma) o długości 6cm w legendarnym wariancie kolorystycznym Rhino. Agresywna praca w wodzie.', 'Przynęty', '111.jpg', 13, 34.65),
('Wobler Savage Gear Motoroil 10cm', 'Wyjątkowo łowna przynęta sztuczna (wobler) o długości 10cm w legendarnym wariancie kolorystycznym Motoroil. Agresywna praca w wodzie.', 'Przynęty', '112.jpg', 30, 30.82),
('Wobler Mepps Motoroil 6cm', 'Wyjątkowo łowna przynęta sztuczna (wobler) o długości 6cm w legendarnym wariancie kolorystycznym Motoroil. Agresywna praca w wodzie.', 'Przynęty', '113.jpg', 56, 35.12),
('Riper Westin Motoroil 4cm', 'Wyjątkowo łowna przynęta sztuczna (riper) o długości 4cm w legendarnym wariancie kolorystycznym Motoroil. Agresywna praca w wodzie.', 'Przynęty', '114.jpg', 77, 41.55),
('Wahadłówka Berkley Rhino 10cm', 'Wyjątkowo łowna przynęta sztuczna (wahadłówka) o długości 10cm w legendarnym wariancie kolorystycznym Rhino. Agresywna praca w wodzie.', 'Przynęty', '115.jpg', 41, 42.38),
('Wahadłówka Berkley Motoroil 4cm', 'Wyjątkowo łowna przynęta sztuczna (wahadłówka) o długości 4cm w legendarnym wariancie kolorystycznym Motoroil. Agresywna praca w wodzie.', 'Przynęty', '116.jpg', 58, 31.20),
('Riper Salmo Fluo 6cm', 'Wyjątkowo łowna przynęta sztuczna (riper) o długości 6cm w legendarnym wariancie kolorystycznym Fluo. Agresywna praca w wodzie.', 'Przynęty', '117.jpg', 54, 74.08),
('Wobler Keitech Pike 10cm', 'Wyjątkowo łowna przynęta sztuczna (wobler) o długości 10cm w legendarnym wariancie kolorystycznym Pike. Agresywna praca w wodzie.', 'Przynęty', '118.jpg', 71, 12.67),
('Wahadłówka Mepps Pike 6cm', 'Wyjątkowo łowna przynęta sztuczna (wahadłówka) o długości 6cm w legendarnym wariancie kolorystycznym Pike. Agresywna praca w wodzie.', 'Przynęty', '119.jpg', 20, 25.62),
('Wahadłówka Berkley Red Head 8cm', 'Wyjątkowo łowna przynęta sztuczna (wahadłówka) o długości 8cm w legendarnym wariancie kolorystycznym Red Head. Agresywna praca w wodzie.', 'Przynęty', '120.jpg', 30, 62.44),
('Przypon karpiowy Mikado 0.18mm 250m', 'Najwyższej klasy przypon karpiowy o średnicy 0.18mm i nawoju 250m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '121.jpg', 47, 56.63),
('Fluorocarbon PowerPro 0.12mm 1000m', 'Najwyższej klasy fluorocarbon o średnicy 0.12mm i nawoju 1000m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '122.jpg', 46, 123.59),
('Fluorocarbon Sufix 0.22mm 1000m', 'Najwyższej klasy fluorocarbon o średnicy 0.22mm i nawoju 1000m. Cechuje się ekstremalną wytrzymałością liniową i odpornością na przetarcia.', 'Żyłki i Plecionki', '123.jpg', 33, 114.71),
